sid,age,gender,f0,vot
S092,50s,Female,216.253260096991,30.5218382532857
S093,50s,Female,188.112845617412,24.4256603849736
S094,50s,Female,174.699508413556,69.4270743250041
S095,50s,Female,195.572312646359,83.9180245114582
S096,50s,Female,170.64201296504,77.1311240243173
S097,50s,Female,177.112219992185,69.2302082754984
S098,50s,Female,197.361466749077,49.2395777100177
S099,50s,Female,201.571894206592,22.740051585151
S100,50s,Female,191.057743494477,41.5464163693631
S101,50s,Female,192.85593081124,38.6190923071041
S102,50s,Female,168.302841460998,80.751284032865
S103,50s,Female,217.007102523839,23.4596139666156
S104,50s,Female,206.022586910927,36.6178001148691
S105,50s,Female,237.770839931348,80.7729263045189
S106,50s,Female,169.539681508489,67.2080197956994
S107,50s,Female,185.922236678683,29.7533507502305
S108,50s,Female,224.834360816583,98.507480200964
S109,50s,Female,207.597959866504,30.8156496212528
S110,50s,Female,223.138656505071,94.7422350040694
S111,50s,Female,217.323598506999,24.1403722582891
S112,50s,Female,209.328936626617,34.3704914760318
S113,50s,Female,221.627244274598,18.4243152827399
S114,50s,Female,166.882901533657,54.9872976657603
S115,50s,Female,194.589727528876,32.5474868180378
S116,50s,Female,215.49064746928,35.5111697474879
S117,50s,Female,221.836615653982,107.497965122471
S118,50s,Female,210.524432249539,23.0068111445296
S119,50s,Female,203.35488540765,28.7251818375235
S120,50s,Female,212.405327077084,38.8226636198692
S121,50s,Female,204.902942830798,23.9689484261738
S122,50s,Female,178.185729171167,73.0359148367942
S123,50s,Female,190.84970736591,35.4892693300113
S124,50s,Female,187.710563504001,25.0091228301309
S125,50s,Female,197.487914654265,23.6470074530721
S126,50s,Female,181.625196577947,38.4249508982249
S127,50s,Female,205.217115463233,19.3699874459447
S128,50s,Female,243.799012634491,100.936590031973
S129,50s,Female,157.165770801641,64.8963742052707
S130,50s,Female,201.959382580631,6.8318958014034
S131,50s,Female,176.224109330079,79.1425104833243
S132,50s,Female,177.66466409923,71.2741680127724
S133,50s,Female,173.585209565036,72.597706764714
S134,50s,Female,200.559017378508,26.8120801250908
S135,50s,Female,198.20119893437,38.4201588097061
S136,50s,Female,172.2881915904,64.6692093838441
